SUBJECT 3029919ea6b7a70360dba90f6b1e18e7eba8a260 — 239 tracked inputs verified against that revision
RUNNER  supplied-echo-mutants.py sha256 06c803bd306be464020d5533e0ce723ea9e881c7234639bb99608c2de4c4c908
S34-exact-declaration-ignores-the-presence-guard: KILLED (tests=1 fail=1)
S35-answer-text-unbound: KILLED (tests=1 fail=1)
S36-premise-checks-the-declared-answer: KILLED (tests=1 fail=1)
S37-unbound-field-scan-is-shallow: KILLED (tests=1 fail=1)
S38-a-surface-loses-its-bindings: KILLED (tests=1 fail=1)
S39-supplied-assertion-runs-one-way: KILLED (tests=1 fail=1)
S40-stale-unclaimed-exception-accepted: KILLED (tests=3 fail=1)
S33-vacuous-declared-absent-root: KILLED (tests=1 fail=1)
S41-chat-stop-reason-unbound: KILLED (tests=1 fail=1)
S42-responses-stop-reason-unbound: KILLED (tests=1 fail=1)
S43-fan-out-reads-one-choice: KILLED (tests=1 fail=1)
S44-undefined-blanks-a-binding: KILLED (tests=1 fail=1)
S45-anthropic-stop-reason-raw: KILLED (tests=1 fail=1)
S46-gap-list-grows-an-unrelated-path: KILLED (tests=2 fail=1)
S47-gap-derivation-credits-everything: KILLED (tests=1 fail=1)
S55-effect-rule-asks-the-claim: KILLED (tests=1 fail=1)
S48-required-effects-emptied: KILLED (tests=1 fail=1)
S49-required-effects-never-fails: KILLED (tests=1 fail=1)
S51-scan-reads-the-row-not-the-turn: KILLED (tests=1 fail=1)
S54-a-binding-nothing-runs: KILLED (tests=1 fail=1)
S61-stop-sequence-rewrite-not-derived: KILLED (tests=1 fail=1)
S62-stop-sequence-ignores-tool-calls: KILLED (tests=1 fail=1)
S63-cutoff-projection-drops-the-items: KILLED (tests=1 fail=1)
S64-unread-free-reason-accepted: KILLED (tests=1 fail=1)
S57-responses-drops-its-answer-item: KILLED (tests=2 fail=1)
S58-chat-gains-a-harness-exemption: KILLED (tests=1 fail=1)
S59-gap-derivation-removes-the-first: KILLED (tests=1 fail=1)
S60-binding-reads-the-row-not-the-turn: KILLED (tests=1 fail=1)
S52-row-mints-its-own-excuse: KILLED (tests=1 fail=1)
S53-probe-shaped-table-never-stale: KILLED (tests=1 fail=1)
S50-free-entry-nobody-reads: KILLED (tests=1 fail=1)
S65-item-reader-sniffs-the-body: KILLED (tests=1 fail=1)
S66-messages-items-read-elsewhere: KILLED (tests=1 fail=1)
S67-unknown-surface-owes-nothing: KILLED (tests=1 fail=1)
S68-presence-reads-the-row-alone: KILLED (tests=1 fail=1)
S69-max-tokens-loses-to-tool-use: KILLED (tests=1 fail=1)
S70-completed-call-reports-incomplete: KILLED (tests=1 fail=1)
S71-branch-loses-its-only-input: KILLED (tests=1 fail=1)
S72-branch-not-declared: KILLED (tests=1 fail=1)
S73-messages-answers-its-block-twice: KILLED (tests=4 fail=2)
S74-derivation-left-out-of-the-table: KILLED (tests=1 fail=1)
S75-binding-bypasses-derive: KILLED (tests=1 fail=1)
S76-underived-never-reported: KILLED (tests=1 fail=1)
S77-unbound-never-reported: KILLED (tests=1 fail=1)
S78-walk-asks-the-table: KILLED (tests=1 fail=1)
S79-trace-goes-blind: KILLED (tests=1 fail=1)
S80-unknown-derivation-not-refused: KILLED (tests=1 fail=1)
S81-composed-cut-untraced: KILLED (tests=1 fail=1)

=== SUMMARY ===
  S1-effort-gate-reverted: KILLED (tests=2 fail=2)
  S2-parallel-tool-calls-hard-true: KILLED (tests=2 fail=1)
  S3-responses-service-tier-constant: KILLED (tests=2 fail=1)
  S4-chat-service-tier-constant: KILLED (tests=2 fail=1)
  S5-store-hard-true: KILLED (tests=4 fail=2)
  S6-metadata-emptied: KILLED (tests=2 fail=2)
  S7-top-logprobs-echo-constant: KILLED (tests=2 fail=1)
  S8-chat-fanout-collapsed: KILLED (tests=2 fail=2)
  S9-declaration-emptied: KILLED (tests=147 fail=10)
  S10-value-divergence-stale: KILLED (tests=2 fail=1)
  S11-fixture-tampered: KILLED (tests=1 fail=1)
  S12-second-choice-null: KILLED (tests=2 fail=1)
  S13-false-value-divergence: KILLED (tests=3 fail=1)
  S14-replay-row-deleted: KILLED (tests=145 fail=2)
  S15-wire-names-no-capture: KILLED (tests=1 fail=1)
  S16-second-choice-emptied: KILLED (tests=2 fail=1)
  S17-declared-absence-answered-empty: KILLED (tests=2 fail=1)
  S18-divergence-tuple-coerced: KILLED (tests=1 fail=1)
  S19-false-divergence-alone: KILLED (tests=1 fail=1)
  S20-wire-capture-loses-its-replay: KILLED (tests=1 fail=1)
  S21-second-choice-message-emptied: KILLED (tests=2 fail=1)
  S22-our-turn-gains-a-reasoning-item: KILLED (tests=2 fail=1)
  S23-driver-reads-off-its-roster: KILLED (tests=1 fail=1)
  S24-driver-replays-another-rows-request: KILLED (tests=1 fail=1)
  S25-row-answer-not-supplied: KILLED (tests=4 fail=4)
  S26-messages-publishes-an-unmeasured-thinking-count: KILLED (tests=4 fail=2)
  S27-echo-asked-of-the-row-not-the-option: KILLED (tests=1 fail=1)
  S29-echo-map-may-omit-an-option: KILLED (tests=1 fail=1)
  S28-unbound-answer-is-skipped: KILLED (tests=1 fail=1)
  S30-echo-reader-matches-exactly-again: KILLED (tests=1 fail=1)
  S31-declared-ancestor-credits-what-we-report: KILLED (tests=1 fail=1)
  S32-declared-absent-root-may-be-reported: KILLED (tests=1 fail=1)
  S34-exact-declaration-ignores-the-presence-guard: KILLED (tests=1 fail=1)
  S35-answer-text-unbound: KILLED (tests=1 fail=1)
  S36-premise-checks-the-declared-answer: KILLED (tests=1 fail=1)
  S37-unbound-field-scan-is-shallow: KILLED (tests=1 fail=1)
  S38-a-surface-loses-its-bindings: KILLED (tests=1 fail=1)
  S39-supplied-assertion-runs-one-way: KILLED (tests=1 fail=1)
  S40-stale-unclaimed-exception-accepted: KILLED (tests=3 fail=1)
  S33-vacuous-declared-absent-root: KILLED (tests=1 fail=1)
  S41-chat-stop-reason-unbound: KILLED (tests=1 fail=1)
  S42-responses-stop-reason-unbound: KILLED (tests=1 fail=1)
  S43-fan-out-reads-one-choice: KILLED (tests=1 fail=1)
  S44-undefined-blanks-a-binding: KILLED (tests=1 fail=1)
  S45-anthropic-stop-reason-raw: KILLED (tests=1 fail=1)
  S46-gap-list-grows-an-unrelated-path: KILLED (tests=2 fail=1)
  S47-gap-derivation-credits-everything: KILLED (tests=1 fail=1)
  S55-effect-rule-asks-the-claim: KILLED (tests=1 fail=1)
  S48-required-effects-emptied: KILLED (tests=1 fail=1)
  S49-required-effects-never-fails: KILLED (tests=1 fail=1)
  S51-scan-reads-the-row-not-the-turn: KILLED (tests=1 fail=1)
  S54-a-binding-nothing-runs: KILLED (tests=1 fail=1)
  S61-stop-sequence-rewrite-not-derived: KILLED (tests=1 fail=1)
  S62-stop-sequence-ignores-tool-calls: KILLED (tests=1 fail=1)
  S63-cutoff-projection-drops-the-items: KILLED (tests=1 fail=1)
  S64-unread-free-reason-accepted: KILLED (tests=1 fail=1)
  S57-responses-drops-its-answer-item: KILLED (tests=2 fail=1)
  S58-chat-gains-a-harness-exemption: KILLED (tests=1 fail=1)
  S59-gap-derivation-removes-the-first: KILLED (tests=1 fail=1)
  S60-binding-reads-the-row-not-the-turn: KILLED (tests=1 fail=1)
  S52-row-mints-its-own-excuse: KILLED (tests=1 fail=1)
  S53-probe-shaped-table-never-stale: KILLED (tests=1 fail=1)
  S50-free-entry-nobody-reads: KILLED (tests=1 fail=1)
  S65-item-reader-sniffs-the-body: KILLED (tests=1 fail=1)
  S66-messages-items-read-elsewhere: KILLED (tests=1 fail=1)
  S67-unknown-surface-owes-nothing: KILLED (tests=1 fail=1)
  S68-presence-reads-the-row-alone: KILLED (tests=1 fail=1)
  S69-max-tokens-loses-to-tool-use: KILLED (tests=1 fail=1)
  S70-completed-call-reports-incomplete: KILLED (tests=1 fail=1)
  S71-branch-loses-its-only-input: KILLED (tests=1 fail=1)
  S72-branch-not-declared: KILLED (tests=1 fail=1)
  S73-messages-answers-its-block-twice: KILLED (tests=4 fail=2)
  S74-derivation-left-out-of-the-table: KILLED (tests=1 fail=1)
  S75-binding-bypasses-derive: KILLED (tests=1 fail=1)
  S76-underived-never-reported: KILLED (tests=1 fail=1)
  S77-unbound-never-reported: KILLED (tests=1 fail=1)
  S78-walk-asks-the-table: KILLED (tests=1 fail=1)
  S79-trace-goes-blind: KILLED (tests=1 fail=1)
  S80-unknown-derivation-not-refused: KILLED (tests=1 fail=1)
  S81-composed-cut-untraced: KILLED (tests=1 fail=1)

BASELINE OK: True   ALL KILLED: True   RESTORED: True   DIST MATCHES TREE: True
